25.666,45.348,6.5627e-07,0,0,0,0,0,0,0,0,0,0,0,0,-25.666,-45.348,6.5627e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.348,683.6,-4.5021e-08,0,0,0,0,0,0,0,0,0,0,0,0,-45.348,-683.6,-4.5021e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5627e-07,-4.5021e-08,2.558e-14,0,0,0,0,0,0,0,0,0,0,0,0,-6.5627e-07,4.5021e-08,1.279e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,26.408,-50.527,6.5562e-07,0,0,0,0,0,0,0,0,0,0,0,0,-26.408,50.527,6.5562e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-50.527,682.7,5.018e-08,0,0,0,0,0,0,0,0,0,0,0,0,50.527,-682.7,5.018e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6.5562e-07,5.018e-08,2.5575e-14,0,0,0,0,0,0,0,0,0,0,0,0,-6.5562e-07,-5.018e-08,1.2787e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,26.496,-50.797,6.5656e-07,0,0,0,0,0,0,0,0,0,0,0,0,-26.496,50.797,6.5656e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-50.797,683.16,5.0488e-08,0,0,0,0,0,0,0,0,0,0,0,0,50.797,-683.16,5.0488e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.5656e-07,5.0488e-08,2.5593e-14,0,0,0,0,0,0,0,0,0,0,0,0,-6.5656e-07,-5.0488e-08,1.2797e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,26.999,69.196,5.9019e-07,0,0,0,0,0,0,0,0,0,0,0,0,-26.999,-69.196,5.9019e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
